Origin,Year,Month,DepDelayMinutes,ArrDelayMinutes,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
ABE,2017,1,113.69444444444444,115.02777777777777,1509.0,77.0,1648.0,0.0,907.0
ABE,2017,2,39.416666666666664,53.0,202.0,0.0,377.0,0.0,57.0
ABE,2017,3,49.36363636363637,57.484848484848484,257.0,63.0,473.0,0.0,1104.0
ABE,2017,4,163.4,156.9,1854.0,0.0,96.0,0.0,1188.0
ABE,2017,5,111.19047619047619,109.61904761904762,1414.0,0.0,106.0,0.0,782.0
ABE,2017,6,66.41176470588235,68.05882352941177,526.0,0.0,294.0,0.0,337.0
ABE,2017,7,62.97142857142857,68.57142857142857,335.0,0.0,803.0,0.0,1262.0
ABE,2017,8,123.18181818181819,119.86363636363636,1312.0,290.0,92.0,0.0,943.0
ABE,2017,9,198.22222222222223,193.55555555555554,2716.0,238.0,58.0,0.0,472.0
ABE,2017,10,87.80952380952381,88.30952380952381,2045.0,11.0,294.0,23.0,1336.0
ABE,2017,11,56.291666666666664,59.791666666666664,152.0,0.0,218.0,0.0,1065.0
ABE,2017,12,62.40909090909091,83.20454545454545,877.0,700.0,1234.0,0.0,850.0
ABE,2018,1,68.11688311688312,77.33766233766234,2373.0,22.0,1189.0,2.0,2369.0
ABE,2018,2,95.8923076923077,106.27692307692308,939.0,1479.0,1235.0,0.0,3255.0
ABE,2018,3,58.11702127659574,69.41489361702128,1293.0,199.0,2365.0,19.0,2649.0
ABE,2018,4,76.75,82.546875,2803.0,400.0,614.0,0.0,1466.0
ABE,2018,5,82.44444444444444,80.05555555555556,1429.0,172.0,521.0,0.0,2201.0
ABE,2018,6,111.60714285714286,109.28571428571429,3179.0,628.0,248.0,0.0,2065.0
ABE,2018,7,87.96,90.16,2150.0,414.0,801.0,0.0,3397.0
ABE,2018,8,87.70149253731343,86.65671641791045,1794.0,68.0,684.0,0.0,3260.0
ABE,2018,9,63.6875,68.4375,907.0,442.0,380.0,0.0,1556.0
ABE,2018,10,63.35897435897436,71.3076923076923,1347.0,107.0,607.0,0.0,720.0
ABE,2018,11,57.35294117647059,68.55294117647058,1356.0,171.0,1453.0,2.0,2845.0
ABE,2018,12,65.27868852459017,69.77049180327869,1828.0,7.0,709.0,0.0,1712.0
ABI,2017,1,74.0,80.63636363636364,5.0,0.0,92.0,0.0,790.0
ABI,2017,2,79.0,74.0,0.0,0.0,3.0,0.0,145.0
ABI,2018,1,64.05128205128206,70.28205128205128,564.0,1025.0,343.0,0.0,809.0
ABI,2018,2,80.45161290322581,83.6774193548387,958.0,726.0,212.0,0.0,698.0
ABI,2018,3,56.666666666666664,56.611111111111114,351.0,158.0,90.0,0.0,420.0
ABI,2018,4,69.11538461538461,72.46153846153847,752.0,584.0,176.0,0.0,372.0
ABI,2018,5,87.77777777777777,99.44444444444444,793.0,313.0,409.0,0.0,275.0
ABI,2018,6,82.75,72.5,693.0,539.0,1.0,0.0,507.0
ABI,2018,7,84.89189189189189,81.83783783783784,838.0,475.0,122.0,0.0,1593.0
ABI,2018,8,42.70967741935484,44.806451612903224,540.0,53.0,224.0,0.0,572.0
ABI,2018,9,46.75757575757576,57.75757575757576,530.0,257.0,667.0,7.0,445.0
ABI,2018,10,53.395833333333336,64.0625,434.0,1019.0,657.0,0.0,965.0
ABI,2018,11,35.885714285714286,44.34285714285714,552.0,13.0,397.0,0.0,590.0
ABI,2018,12,33.15909090909091,40.5,781.0,10.0,454.0,0.0,537.0
ABQ,2017,1,46.896321070234116,52.264214046822744,4386.0,1063.0,3692.0,18.0,6468.0
ABQ,2017,2,48.39784946236559,52.24731182795699,2722.0,131.0,2054.0,0.0,4811.0
ABQ,2017,3,56.88135593220339,57.46610169491525,5146.0,330.0,2362.0,0.0,5724.0
ABQ,2017,4,46.743589743589745,50.52136752136752,2650.0,480.0,2772.0,0.0,5920.0
ABQ,2017,5,53.85614035087719,52.07719298245614,4736.0,220.0,3294.0,0.0,6592.0
ABQ,2017,6,61.82058823529412,62.11176470588235,6580.0,729.0,2628.0,0.0,11181.0
ABQ,2017,7,59.57966101694915,60.19661016949153,5050.0,443.0,2294.0,0.0,9971.0
ABQ,2017,8,57.08588957055215,55.966257668711656,4568.0,515.0,2735.0,0.0,10427.0
ABQ,2017,9,69.60344827586206,68.29310344827586,5403.0,274.0,1001.0,0.0,5205.0
ABQ,2017,10,68.25595238095238,65.85714285714286,3537.0,193.0,1618.0,42.0,5674.0
ABQ,2017,11,48.638297872340424,46.87234042553192,1297.0,0.0,1285.0,165.0,3862.0
ABQ,2017,12,61.2265625,57.92578125,4178.0,1197.0,1778.0,93.0,7583.0
ABQ,2018,1,58.204819277108435,58.06425702811245,4286.0,536.0,4169.0,0.0,5467.0
ABQ,2018,2,54.6,55.04406779661017,2837.0,341.0,4354.0,12.0,8694.0
ABQ,2018,3,54.99628252788104,56.24907063197026,3061.0,118.0,2574.0,0.0,9378.0
ABQ,2018,4,56.52424242424242,56.915151515151514,6436.0,751.0,2086.0,0.0,9509.0
ABQ,2018,5,60.390957446808514,59.90691489361702,6697.0,327.0,3876.0,42.0,11583.0
ABQ,2018,6,61.881401617250674,64.18059299191374,7409.0,616.0,4067.0,0.0,11719.0
ABQ,2018,7,59.39866369710467,60.00222717149221,7426.0,1024.0,4467.0,137.0,13887.0
ABQ,2018,8,60.97176470588235,62.411764705882355,8311.0,831.0,5275.0,990.0,11118.0
ABQ,2018,9,55.1375,58.16875,5299.0,639.0,4759.0,164.0,7753.0
ABQ,2018,10,54.14207650273224,56.06284153005465,6055.0,955.0,3687.0,77.0,9745.0
ABQ,2018,11,60.49596774193548,59.641129032258064,4482.0,186.0,2152.0,0.0,7971.0
ABQ,2018,12,57.83896103896104,60.935064935064936,6189.0,1039.0,5450.0,324.0,10458.0
ABR,2017,1,169.14285714285714,171.85714285714286,792.0,0.0,122.0,0.0,1492.0
ABR,2017,2,79.0,63.0,0.0,0.0,0.0,0.0,63.0
ABR,2017,3,64.0,60.333333333333336,84.0,0.0,16.0,3.0,78.0
ABR,2017,4,89.33333333333333,80.33333333333333,88.0,19.0,17.0,0.0,358.0
ABR,2017,5,83.66666666666667,78.0,380.0,0.0,14.0,0.0,74.0
ABR,2017,6,166.0,164.0,1009.0,0.0,33.0,0.0,106.0
ABR,2017,7,285.5,274.5,548.0,0.0,0.0,0.0,1.0
ABR,2017,8,20.75,19.75,36.0,0.0,15.0,0.0,28.0
ABR,2017,9,69.6,71.3,108.0,0.0,323.0,17.0,265.0
ABR,2017,10,86.9090909090909,93.0,699.0,0.0,100.0,0.0,224.0
